,Game_ID,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK,PTS+REB,PTS+AST,PTS+REB+AST,REB+AST,BLKS+STLS
0,0022201205,27,20,4,3,9,1,6,0,30,47,50,23,4
1,0022201191,25,16,0,2,4,1,4,0,27,41,43,18,0
2,0022201167,24,12,1,3,2,0,5,0,27,36,39,15,1
3,0022201153,10,6,0,0,2,0,5,0,10,16,16,6,0
4,0022201131,16,10,1,1,6,2,3,0,17,26,27,11,1
5,0022201115,28,10,0,2,4,3,5,0,30,38,40,12,0
6,0022201107,14,5,1,3,3,0,1,0,17,19,22,8,1
7,0022201090,29,8,1,2,6,3,4,0,31,37,39,10,1
8,0022201078,30,12,0,3,3,3,9,0,33,42,45,15,0
9,0022201065,9,6,0,4,5,1,4,0,13,15,19,10,0
10,0022201048,25,12,1,6,4,3,6,0,31,37,43,18,1
11,0022201021,41,7,1,6,4,1,4,0,47,48,54,13,1
12,0022201008,35,13,0,3,3,4,11,0,38,48,51,16,0
13,0022200999,28,9,2,2,3,6,10,0,30,37,39,11,2
14,0022200985,28,10,3,4,5,3,4,0,32,38,42,14,3
15,0022200974,25,7,1,1,3,1,5,0,26,32,33,8,1
16,0022200958,8,10,5,4,5,0,5,0,12,18,22,14,5
17,0022200947,23,11,2,7,4,3,5,0,30,34,41,18,2
18,0022200923,31,7,0,2,4,2,6,1,33,38,40,9,1
19,0022200911,34,8,2,3,4,1,5,0,37,42,45,11,2
20,0022200896,34,9,1,3,2,4,7,0,37,43,46,12,1
21,0022200876,19,11,4,1,1,1,6,0,20,30,31,12,4
22,0022200857,25,14,2,2,5,2,7,0,27,39,41,16,2
23,0022200850,24,17,1,4,5,2,5,1,28,41,45,21,2
24,0022200832,36,12,2,7,9,5,8,0,43,48,55,19,2
25,0022200818,16,16,1,3,4,2,8,0,19,32,35,19,1
26,0022200792,27,6,2,4,2,2,8,1,31,33,37,10,3
27,0022200777,20,12,1,1,4,3,3,0,21,32,33,13,1
28,0022200745,31,10,1,5,5,0,2,0,36,41,46,15,1
29,0022200725,33,11,0,3,5,3,6,0,36,44,47,14,0
30,0022200708,21,13,0,3,6,0,5,0,24,34,37,16,0
31,0022200694,25,12,0,5,6,0,4,0,30,37,42,17,0
32,0022200684,27,6,1,1,4,1,7,0,28,33,34,7,1
33,0022200670,18,12,3,4,4,0,1,0,22,30,34,16,3
34,0022200661,24,8,4,3,10,3,6,0,27,32,35,11,4
35,0022200644,29,9,2,0,3,2,5,1,29,38,38,9,3
36,0022200633,26,11,0,2,2,6,10,0,28,37,39,13,0
37,0022200604,30,8,1,2,4,3,6,0,32,38,40,10,1
38,0022200590,32,9,3,5,6,2,8,0,37,41,46,14,3
39,0022200575,21,6,1,0,5,1,2,0,21,27,27,6,1
40,0022200558,30,14,1,7,4,3,10,0,37,44,51,21,1
41,0022200530,29,8,1,3,4,0,4,0,32,37,40,11,1
42,0022200508,22,10,0,3,4,3,6,1,25,32,35,13,1
43,0022200481,26,13,2,2,1,3,7,0,28,39,41,15,2
44,0022200468,34,6,1,6,5,7,14,0,40,40,46,12,1
45,0022200454,37,13,0,3,4,3,7,0,40,50,53,16,0
46,0022200428,31,9,1,1,4,2,5,0,32,40,41,10,1
47,0022200416,19,16,0,3,5,1,5,0,22,35,38,19,0
48,0022200400,19,14,0,2,6,2,8,0,21,33,35,16,0
49,0022200380,33,9,3,0,8,2,7,1,33,42,42,9,4
50,0022200365,19,6,0,4,4,0,4,0,23,25,29,10,0
51,0022200354,23,10,0,3,4,1,7,0,26,33,36,13,0
52,0022200313,30,14,0,2,2,2,11,0,32,44,46,16,0
53,0022200299,18,10,0,2,3,1,4,0,20,28,30,12,0
54,0022200293,22,14,1,5,3,1,8,0,27,36,41,19,1
55,0022200278,44,5,1,0,4,4,10,0,44,49,49,5,1
56,0022200263,35,7,0,1,4,4,7,0,36,42,43,8,0
57,0022200248,25,10,1,2,6,1,7,0,27,35,37,12,1
58,0022200235,33,12,1,3,2,2,4,1,36,45,48,15,2
59,0022200214,27,9,1,5,1,2,7,0,32,36,41,14,1
60,0022200204,21,9,1,3,2,2,5,0,24,30,33,12,1
61,0022200188,27,11,1,1,7,2,7,0,28,38,39,12,1
62,0022200173,26,7,1,3,6,2,8,0,29,33,36,10,1
63,0022200162,22,9,2,4,2,2,5,0,26,31,35,13,2
64,0022200134,34,10,2,1,5,2,9,1,35,44,45,11,3
65,0022200110,17,7,1,6,1,2,7,0,23,24,30,13,1
66,0022200099,14,10,1,0,10,1,5,0,14,24,24,10,1
67,0022200085,42,5,0,6,2,5,10,0,48,47,53,11,0
68,0022200070,36,12,0,2,1,4,6,0,38,48,50,14,0
69,0022200057,35,6,1,3,1,1,7,0,38,41,44,9,1
70,0022200038,28,9,0,5,1,2,8,0,33,37,42,14,0
71,0022200020,25,13,0,4,6,4,11,0,29,38,42,17,0
72,0022200005,23,13,1,3,3,1,9,1,26,36,39,16,2
